Date : 2022-11-23 18:10:10
Directory : /home/mdd/文档/flutter/iot
Total : 58 files,  2575 codes, 344 comments, 379 blanks, all 3298 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                   |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                           |          1 |        343 |          0 |          1 |        344 |
| test                                                                                              |          1 |         14 |         10 |          7 |         31 |
| web                                                                                               |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                           |         11 |        426 |         80 |        137 |        643 |
| windows/flutter                                                                                   |          3 |         30 |          9 |         17 |         56 |
| windows/runner                                                                                    |          8 |        396 |         71 |        120 |        587 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                          | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /home/mdd/文档/flutter/iot/README.md                                                                | Markdown        |         10 |          0 |          7 |         17 |
| /home/mdd/文档/flutter/iot/analysis_options.yaml                                                    | YAML            |          3 |         23 |          4 |         30 |
| /home/mdd/文档/flutter/iot/android/app/build.gradle                                                 | Groovy          |         54 |          6 |         14 |         74 |
| /home/mdd/文档/flutter/iot/android/app/src/debug/AndroidManifest.xml                                | XML             |          4 |          4 |          1 |          9 |
| /home/mdd/文档/flutter/iot/android/app/src/main/AndroidManifest.xml                                 | XML             |         37 |          6 |          2 |         45 |
| /home/mdd/文档/flutter/iot/android/app/src/main/java/io/flutter/app/FlutterMultiDexApplication.java | Java            |         13 |          9 |          4 |         26 |
| /home/mdd/文档/flutter/iot/android/app/src/main/kotlin/com/example/iot/MainActivity.kt              | Kotlin          |          4 |          0 |          3 |          7 |
| /home/mdd/文档/flutter/iot/android/app/src/main/res/drawable-v21/launch_background.xml              | XML             |          4 |          7 |          2 |         13 |
| /home/mdd/文档/flutter/iot/android/app/src/main/res/drawable/launch_background.xml                  | XML             |          4 |          7 |          2 |         13 |
| /home/mdd/文档/flutter/iot/android/app/src/main/res/values-night/styles.xml                         | XML             |          9 |          9 |          1 |         19 |
| /home/mdd/文档/flutter/iot/android/app/src/main/res/values/styles.xml                               | XML             |          9 |          9 |          1 |         19 |
| /home/mdd/文档/flutter/iot/android/app/src/profile/AndroidManifest.xml                              | XML             |          4 |          4 |          1 |          9 |
| /home/mdd/文档/flutter/iot/android/build.gradle                                                     | Groovy          |         27 |          0 |          5 |         32 |
| /home/mdd/文档/flutter/iot/android/gradle.properties                                                | Java Properties |          3 |          0 |          1 |          4 |
| /home/mdd/文档/flutter/iot/android/gradle/wrapper/gradle-wrapper.properties                         | Java Properties |          5 |          0 |          1 |          6 |
| /home/mdd/文档/flutter/iot/android/settings.gradle                                                  | Groovy          |          8 |          0 |          4 |         12 |
| /home/mdd/文档/flutter/iot/ios/Runner/AppDelegate.swift                                             | Swift           |         12 |          0 |          2 |         14 |
| /home/mdd/文档/flutter/iot/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json              | JSON            |        122 |          0 |          1 |        123 |
| /home/mdd/文档/flutter/iot/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json            | JSON            |         23 |          0 |          1 |         24 |
| /home/mdd/文档/flutter/iot/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                | Markdown        |          3 |          0 |          2 |          5 |
| /home/mdd/文档/flutter/iot/ios/Runner/Base.lproj/LaunchScreen.storyboard                            | XML             |         36 |          1 |          1 |         38 |
| /home/mdd/文档/flutter/iot/ios/Runner/Base.lproj/Main.storyboard                                    | XML             |         25 |          1 |          1 |         27 |
| /home/mdd/文档/flutter/iot/ios/Runner/Runner-Bridging-Header.h                                      | C++             |          1 |          0 |          1 |          2 |
| /home/mdd/文档/flutter/iot/lib/chat.dart                                                            | Dart            |        198 |          1 |          9 |        208 |
| /home/mdd/文档/flutter/iot/lib/contact.dart                                                         | Dart            |        134 |          0 |         11 |        145 |
| /home/mdd/文档/flutter/iot/lib/example.dart                                                         | Dart            |        198 |         48 |         23 |        269 |
| /home/mdd/文档/flutter/iot/lib/login.dart                                                           | Dart            |        172 |          0 |         13 |        185 |
| /home/mdd/文档/flutter/iot/lib/main.dart                                                            | Dart            |         15 |          1 |          5 |         21 |
| /home/mdd/文档/flutter/iot/lib/mqtt.dart                                                            | Dart            |         66 |          0 |         10 |         76 |
| /home/mdd/文档/flutter/iot/lib/recordButton.dart                                                    | Dart            |        109 |          0 |         12 |        121 |
| /home/mdd/文档/flutter/iot/lib/register.dart                                                        | Dart            |        158 |          0 |          9 |        167 |
| /home/mdd/文档/flutter/iot/lib/values.dart                                                          | Dart            |         16 |         11 |          1 |         28 |
| /home/mdd/文档/flutter/iot/linux/flutter/generated_plugin_registrant.cc                             | C++             |          3 |          4 |          5 |         12 |
| /home/mdd/文档/flutter/iot/linux/flutter/generated_plugin_registrant.h                              | C++             |          5 |          5 |          6 |         16 |
| /home/mdd/文档/flutter/iot/linux/flutter/generated_plugins.cmake                                    | CMake           |         18 |          0 |          6 |         24 |
| /home/mdd/文档/flutter/iot/linux/main.cc                                                            | C++             |          5 |          0 |          2 |          7 |
| /home/mdd/文档/flutter/iot/linux/my_application.cc                                                  | C++             |         74 |         11 |         20 |        105 |
| /home/mdd/文档/flutter/iot/linux/my_application.h                                                   | C++             |          7 |          7 |          5 |         19 |
| /home/mdd/文档/flutter/iot/macos/Flutter/GeneratedPluginRegistrant.swift                            | Swift           |         12 |          3 |          4 |         19 |
| /home/mdd/文档/flutter/iot/macos/Runner/AppDelegate.swift                                           | Swift           |          8 |          0 |          2 |         10 |
| /home/mdd/文档/flutter/iot/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json            | JSON            |         68 |          0 |          1 |         69 |
| /home/mdd/文档/flutter/iot/macos/Runner/Base.lproj/MainMenu.xib                                     | XML             |        343 |          0 |          1 |        344 |
| /home/mdd/文档/flutter/iot/macos/Runner/MainFlutterWindow.swift                                     | Swift           |         12 |          0 |          4 |         16 |
| /home/mdd/文档/flutter/iot/pubspec.yaml                                                             | YAML            |         22 |         61 |         17 |        100 |
| /home/mdd/文档/flutter/iot/test/widget_test.dart                                                    | Dart            |         14 |         10 |          7 |         31 |
| /home/mdd/文档/flutter/iot/web/index.html                                                           | HTML            |         37 |         16 |          6 |         59 |
| /home/mdd/文档/flutter/iot/web/manifest.json                                                        | JSON            |         35 |          0 |          1 |         36 |
| /home/mdd/文档/flutter/iot/windows/flutter/generated_plugin_registrant.cc                           | C++             |          6 |          4 |          5 |         15 |
| /home/mdd/文档/flutter/iot/windows/flutter/generated_plugin_registrant.h                            | C++             |          5 |          5 |          6 |         16 |
| /home/mdd/文档/flutter/iot/windows/flutter/generated_plugins.cmake                                  | CMake           |         19 |          0 |          6 |         25 |
| /home/mdd/文档/flutter/iot/windows/runner/flutter_window.cpp                                        | C++             |         45 |          4 |         13 |         62 |
| /home/mdd/文档/flutter/iot/windows/runner/flutter_window.h                                          | C++             |         20 |          5 |          9 |         34 |
| /home/mdd/文档/flutter/iot/windows/runner/main.cpp                                                  | C++             |         30 |          4 |         10 |         44 |
| /home/mdd/文档/flutter/iot/windows/runner/resource.h                                                | C++             |          9 |          6 |          2 |         17 |
| /home/mdd/文档/flutter/iot/windows/runner/utils.cpp                                                 | C++             |         53 |          2 |         10 |         65 |
| /home/mdd/文档/flutter/iot/windows/runner/utils.h                                                   | C++             |          8 |          6 |          6 |         20 |
| /home/mdd/文档/flutter/iot/windows/runner/win32_window.cpp                                          | C++             |        183 |         15 |         48 |        246 |
| /home/mdd/文档/flutter/iot/windows/runner/win32_window.h                                            | C++             |         48 |         29 |         22 |         99 |
| Total                                                                                             |                 |      2,575 |        344 |        379 |      3,298 |
+---------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
